GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.engine,ArrayBucket,0,140,1,9,0,31,1,15,0,11
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.engine,CompositeKey,1,38,3,3,0,6,3,3,0,3
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.engine,ArrayFinalizer,0,145,0,18,0,40,0,15,0,6
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.engine,ValueTransformer,7,238,5,32,2,46,5,26,0,10
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.engine,ComparatorBuilder,6,268,4,38,3,53,4,32,0,15
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.engine,GroupingEngine,0,183,1,9,0,38,1,14,0,10
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.api,Flat2PojoException,9,0,0,0,4,0,2,0,2,0
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,MappingConfig.NullPolicy,0,6,0,0,0,1,0,1,0,1
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,ListHierarchyCache,0,92,0,6,0,22,0,8,0,5
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,MappingConfigLoader,0,11,0,0,0,4,0,2,0,2
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,MappingConfig.Direction,0,15,0,0,0,3,0,1,0,1
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,MappingConfig.OrderBy,0,12,0,0,0,1,0,1,0,1
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,YamlConfigParser,16,284,9,19,4,65,7,20,0,13
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,MappingConfig.PrimitiveSplitRule,0,12,0,0,0,1,0,1,0,1
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,MappingConfig.Nulls,0,15,0,0,0,3,0,1,0,1
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,ValidationException,0,4,0,0,0,2,0,1,0,1
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,MappingConfig.ListRule,0,18,0,0,0,1,0,1,0,1
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,MappingConfig,11,183,0,18,3,42,3,22,3,13
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,MappingConfigLoader.HierarchyValidator,18,188,2,16,3,44,2,16,0,9
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.config,MappingConfig.ConflictPolicy,0,27,0,0,0,5,0,1,0,1
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.impl,RootKeyGrouper,0,115,0,14,0,25,0,13,0,6
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.impl,Flat2PojoCore,16,171,2,4,2,34,2,11,1,9
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.impl,ProcessingPipeline,0,17,0,0,0,2,0,2,0,2
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.impl,ResultMaterializer,9,20,0,2,2,7,0,3,0,2
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.impl,ListRuleProcessor,11,236,1,17,2,60,2,22,1,14
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.impl,AssemblerDependencies,0,15,0,0,0,1,0,1,0,1
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.impl,ListRuleProcessor.WriteContext,0,9,0,0,0,1,0,1,0,1
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.impl,ProcessingContext,0,12,0,0,0,1,0,1,0,1
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.impl,RowGraphAssembler,0,174,1,9,0,37,1,13,0,9
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.impl,ListElementWriter,2,63,2,2,2,15,2,3,0,3
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.util,ConflictHandler,0,223,3,31,0,59,3,27,0,12
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.util,PathResolver,0,74,0,6,0,15,0,11,0,8
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.util,PathOps,15,147,4,20,4,35,5,15,1,7
flat2pojo-coverage/flat2pojo-core,io.github.pojotools.flat2pojo.core.util,ConflictContext,0,16,0,0,0,2,0,2,0,2
flat2pojo-coverage/flat2pojo-jackson,io.github.pojotools.flat2pojo.jackson,JacksonAdapter,7,32,0,0,2,6,1,1,1,1
flat2pojo-coverage/flat2pojo-jackson,io.github.pojotools.flat2pojo.jackson,Flat2PojoFactory,5,5,0,0,1,1,1,1,1,1
